Mode,Day_type,mean,ci
MetroBus,Normal Weekday,344031.2362030905,9867.728856390751
MetroBus,School Holiday Weekday,273054.6082949309,12373.517872885723
MetroBus,Weekend,144206.57894736843,6824.8037395946285
MetroTrain,Normal Weekday,541870.9713024283,20345.191169705366
MetroTrain,School Holiday Weekday,456617.05069124425,27406.45637465309
MetroTrain,Weekend,260238.68421052632,13715.869839050267
RegionalBus,Normal Weekday,34627.262693156736,754.1336405633053
RegionalBus,School Holiday Weekday,24581.79723502304,919.1534486919269
RegionalBus,Weekend,11935.78947368421,637.3343572458875
RegionalTrain,Normal Weekday,45946.02649006622,1643.2246333908727
RegionalTrain,School Holiday Weekday,41722.811059907835,2488.3688221243283
RegionalTrain,Weekend,23551.842105263157,1487.1258563764525
Tram,Normal Weekday,440260.48565121414,16688.60482385919
Tram,School Holiday Weekday,395678.5714285714,23670.93564640706
Tram,Weekend,293269.4736842105,17142.47917104554
